graph,c,n,prc,phase_length,delay,initial_positions,lambda2,converged,steps_to_converge,repeated,steps_to_repeat
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,5.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,4.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,10.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,8.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,9.0,0,
dumbbell,1,10,x,10,5,random,9.999999999999995,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,8.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,8.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,29.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,9.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,29.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,8.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,8.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,9.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,9.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,25.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,29.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,9.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,21.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,30.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,29.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,28.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,18.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,17.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,7.0,0,
dumbbell,2,10,x,10,5,random,0.3431457505076217,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,9.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,29.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,18.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,25.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,8.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,34.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,34.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,47.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,26.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,24.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,8.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,24.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,25.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,25.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,8.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,47.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,24.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,7.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,8.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,28.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,17.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,3,10,x,10,5,random,0.255437353461971,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,17.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,18.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,7.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,28.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,45.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,8.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,48.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,7.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,45.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,28.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,28.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,45.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,8.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,47.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,70.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,37.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,38.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,0,,1,37.0
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
dumbbell,4,10,x,10,5,random,0.1690481051546998,1,27.0,0,
